version, update, wins, losses, draws
01, added minimax, 415, 0, 85
02, added mate detection, 150, 74, 276
03, added alpha beta pruning, 298, 29, 173
04, added draw detection for 50 move rule - repetition and some cases of insufficent material, 209, 128, 163
05, added better time control and quisence search, 370, 100, 30
06, fixed missing node counting in q-search, 252, 193, 55
07, added MVV-LVA move ordering, 404, 50, 46
08, added transposition table, 352, 82, 66
09, stopped clearing tt after every move and added PVS and mate correction, 178, 145, 177
10, added pesto eval, 264, 89, 147

